pre_pt_root_id,post_pt_root_id,size
864691134966621471,864691135124690471,4608.0
864691134966621471,864691135134016928,2076.0
864691134966621471,864691135196385578,7876.0
864691134966621471,864691135209369465,2612.0
864691134966621471,864691135210134905,3932.0
864691134966621471,864691135215254584,6140.0
864691134966621471,864691135271282085,2552.0
864691134966621471,864691135274830353,4776.0
864691134966621471,864691135274860561,6068.0
864691134966621471,864691135280944545,4620.0
864691134966621471,864691135294187190,4752.0
864691134966621471,864691135294442678,2660.0
864691134966621471,864691135308295238,3892.0
864691134966621471,864691135309722950,2332.0
864691134966621471,864691135324437916,3628.0
864691134966621471,864691135324725404,18304.0
864691134966621471,864691135325413788,6932.0
864691134966621471,864691135336954857,3640.0
864691134966621471,864691135340055782,2668.0
864691134966621471,864691135346685855,3004.0
864691134966621471,864691135360346200,1164.0
864691134966621471,864691135387529301,11404.0
864691134966621471,864691135388368001,5108.0
864691134966621471,864691135396794101,3724.0
864691134966621471,864691135396940021,5264.0
864691134966621471,864691135398925345,10380.0
864691134966621471,864691135405480430,668.0
864691134966621471,864691135408788169,1796.0
864691134966621471,864691135409856713,4400.0
864691134966621471,864691135409856969,1344.0
864691134966621471,864691135430346544,1952.0
864691134966621471,864691135448017554,1808.0
864691134966621471,864691135448698196,11432.0
864691134966621471,864691135455977578,5364.0
864691134966621471,864691135464162366,2248.0
864691134966621471,864691135464995134,4752.0
864691134966621471,864691135465955397,7276.0
864691134966621471,864691135466236229,13672.0
864691134966621471,864691135478268840,5164.0
864691134966621471,864691135490483514,2916.0
864691134966621471,864691135493665631,2436.0
864691134966621471,864691135517376211,12232.0
864691134966621471,864691135546161704,1072.0
864691134966621471,864691135562001633,5064.0
864691134966621471,864691135567047191,5204.0
